No(line_no),주소(address),경도(longitute),위도(latitude),쓰레기통 형태(trash_type)
678,서울특별시 영등포구 선유서로 76,126.8856976,37.52252562,① 일반쓰레기
679,서울특별시 영등포구 선유서로 76,126.8856976,37.52252562,② 재활용쓰레기
680,서울특별시 영등포구 영등포로 59-2,126.8882864,37.52269679,① 일반쓰레기
681,서울특별시 영등포구 영등포로 59-2,126.8882864,37.52269679,② 재활용쓰레기
682,서울특별시 영등포구 영등포로 96,126.8919862,37.52130979,① 일반쓰레기
683,서울특별시 영등포구 영등포로 96,126.8919862,37.52130979,② 재활용쓰레기
684,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,① 일반쓰레기
685,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,② 재활용쓰레기
686,서울특별시 영등포구 양산로 111,126.8955219,37.52472387,① 일반쓰레기
687,서울특별시 영등포구 양산로 111,126.8955219,37.52472387,② 재활용쓰레기
688,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,① 일반쓰레기
689,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,① 일반쓰레기
690,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,① 일반쓰레기
691,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,① 일반쓰레기
692,서울특별시 영등포구 경인로 841,126.9060431,37.51652989,① 일반쓰레기
693,서울특별시 영등포구 경인로 841,126.9060431,37.51652989,① 일반쓰레기
694,서울특별시 영등포구 경인로 775,126.8994322,37.51463282,① 일반쓰레기
695,서울특별시 영등포구 경인로 775,126.8994322,37.51463282,① 일반쓰레기
696,서울특별시 영등포구 경인로 789,126.9008629,37.51481702,① 일반쓰레기
697,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,① 일반쓰레기
698,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,② 재활용쓰레기
699,서울특별시 영등포구 경인로 789,126.9008629,37.51481702,① 일반쓰레기
700,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,① 일반쓰레기
701,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,② 재활용쓰레기
702,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,① 일반쓰레기
703,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,② 재활용쓰레기
704,서울특별시 영등포구 영등포로 194,126.9029551,37.5200194,① 일반쓰레기
705,서울특별시 영등포구 영등포로 194,126.9029551,37.5200194,② 재활용쓰레기
706,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,① 일반쓰레기
707,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,② 재활용쓰레기
708,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,① 일반쓰레기
709,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,② 재활용쓰레기
710,서울특별시 영등포구 문래로 110,126.8941145,37.51885103,① 일반쓰레기
711,서울특별시 영등포구 문래로 110,126.8941145,37.51885103,② 재활용쓰레기
712,서울특별시 영등포구 신길로 252,126.9117646,37.51411351,① 일반쓰레기
713,서울특별시 영등포구 신길로 252,126.9117646,37.51411351,② 재활용쓰레기
714,서울특별시 영등포구 신길로 89,126.9087621,37.50070334,① 일반쓰레기
715,서울특별시 영등포구 신길로 89,126.9087621,37.50070334,① 일반쓰레기
716,서울특별시 영등포구 도신로 100 ,126.903934,37.50703812,① 일반쓰레기
717,서울특별시 영등포구 가마산로 496,126.9114018,37.50554669,① 일반쓰레기
718,서울특별시 영등포구 신길로 142-1,126.9102859,37.505016,① 일반쓰레기
719,서울특별시 영등포구 신길로 156,126.9114102,37.50592981,① 일반쓰레기
720,서울특별시 영등포구 신길로 155,126.9109052,37.50602193,① 일반쓰레기
721,서울특별시 영등포구 영등포로 422,126.9248089,37.512392,① 일반쓰레기
722,서울특별시 영등포구 도신로 228,126.916496,37.51173037,① 일반쓰레기
723,서울특별시 영등포구 도신로 228,126.916496,37.51173037,② 재활용쓰레기
724,서울특별시 영등포구 영등포로 398,126.9221979,37.51313864,① 일반쓰레기
725,서울특별시 영등포구 영등포로 398,126.9221979,37.51313864,② 재활용쓰레기
726,서울특별시 영등포구 여의대방로 ,126.9222548,37.5057029,① 일반쓰레기
727,서울특별시 영등포구 여의대방로 ,126.9222548,37.5057029,② 재활용쓰레기
728,서울특별시 영등포구 여의대방로 ,126.9222548,37.5057029,① 일반쓰레기
729,서울특별시 영등포구 여의대방로59길,126.923218,37.51406414,① 일반쓰레기
730,서울특별시 영등포구 신길로 155,126.9109052,37.50602193,① 일반쓰레기
731,서울특별시 영등포구 신길로 190 ,126.9113778,37.50942239,① 일반쓰레기
732,서울특별시 영등포구 대림로 146,126.9007762,37.49416208,① 일반쓰레기
733,서울특별시 영등포구 시흥대로 659,126.9074987,37.49084295,① 일반쓰레기
734,서울특별시 영등포구 시흥대로 613,126.9046112,37.4873875,① 일반쓰레기
735,서울특별시 영등포구 대림역,126.9146598,37.52076076,① 일반쓰레기
736,서울특별시 영등포구 대림역,126.9146598,37.52076076,① 일반쓰레기
737,서울특별시 영등포구 여의대방로,126.9222548,37.5057029,① 일반쓰레기
738,서울특별시 영등포구 시흥대로659-1,126.9075536,37.49105053,① 일반쓰레기
739,서울특별시 영등포구 여의대방로,126.9222548,37.5057029,① 일반쓰레기
740,서울특별시 영등포구 여의대방로 89,126.9165722,37.49730801,① 일반쓰레기
741,서울특별시 영등포구 대방천로 259,126.9197996,37.49908046,① 일반쓰레기
742,서울특별시 영등포구 대림로21길 6,126.9001188,37.49370356,① 일반쓰레기
743,서울특별시 영등포구 대림로21길 6,126.9001188,37.49370356,① 일반쓰레기
